a52dec 0.8.0-2
pacman 7.0.0.r6.gc685ae6-1.1
pacman-contrib 1.10.6-2
pahole 1:1.28-3
pam 1.7.0-1.1
pambase 20230918-2
pango 1:1.56.1-1
pangomm-2.48 2.56.1-1
parole 4.18.2-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.1-1
perl-error 0.17029-7
perl-mailtools 2.22-1
perl-timedate 2.33-7
pinentry 1.3.1-5
pixman 0.44.2-1
pkgconf 2.3.0-1
polkit 126-2
polkit-gnome 0.105-11
polkit-qt6 0.200.0-1
poppler 25.01.0-1
poppler-data 0.4.12-2
poppler-glib 25.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
powertop 2.15-2
ppp 2.5.2-1
procps-ng 4.0.5-2
psmisc 23.7-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
pulseaudio-zeroconf 17.0+r43+g3e2bb8a1e-1
python 3.13.1-1
python-gobject 3.50.0-2
qca-qt6 2.3.9-3
qpdf 11.9.1-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-3
qt5-imageformats 5.15.16+kde+r2-3
qt5-styleplugins 5.0.0.20170311-46
qt5-translations 5.15.16-3
qt6-5compat 6.8.1-1
qt6-base 6.8.1-1
qt6-declarative 6.8.1-3
qt6-shadertools 6.8.1-1.1
qt6-svg 6.8.1-1
qt6-translations 6.8.1-1.1
qt6-wayland 6.8.1-1
qt6gtk2 0.3-2.3
raptor 2.0.16-5
rav1e 0.7.1-1
raw-thumbnailer 0.2.1-7
readline 8.2.013-1
reiserfsprogs 3.6.27-5
ristretto 0.13.3-1
rpcbind 1.2.7-2
rpcbind-runit 20180429-4
rsm 1.4.9-1
rsync 3.4.1-1
rsync-runit 20180226-3
rtkit 0.13-3.1
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
run-parts 5.17-1
runit 2.1.2-31
runit-rc 20240415-2
s-nail 14.9.24-2
sbc 2.0-2
scrot 1.11.1-1
sdl2 2.30.11-1
sed 4.9-3
serd 0.32.4-1
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
snappy 1.2.1-2
solid 6.10.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
spandsp 0.0.6-5
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc2-1
sqlite 3.48.0-2
sratom 0.6.16-1
srt 1.5.4-1
startup-notification 0.12-8
sudo 1.9.16.p2-2
svt-av1 2.3.0-1
svt-hevc 1.5.1-3
sysfsutils 2.1.1-2
taglib 2.0.2-1
tar 1.35-2
tdb 1.4.12-2
terminus-font 4.49.1-7
texinfo 7.1.1-1
thin-provisioning-tools 1.1.0-1
thunar 4.20.1-1
thunar-archive-plugin 0.5.3-1
thunar-media-tags-plugin 0.5.0-1
thunar-volman 4.20.0-2
timeshift 24.06.6-1
tinysparql 3.8.2-2
tpm2-tss 4.1.3-1
tree-sitter 0.24.7-1
tree-sitter-c 0.23.4-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-droid 20121017-11
ttf-inconsolata 1:3.000-4
ttf-liberation 2.1.5-2
ttf-roboto 3.010-1
ttf-roboto-mono 3.000-3
tumbler 4.20.0-2
twolame 0.4.0-4
tzdata 2025a-1
uchardet 0.0.8-3
udev 257.2-1
udisks2 2.10.1-5
ufw 0.36.2-5
unibilium 2.1.2-1
upower 1.90.7-1
usbutils 018-1
util-linux 2.40.4-1
util-linux-libs 2.40.4-1
v4l-utils 1.28.1-2
vapoursynth R70-2
vi 1:070224-6
vid.stab 1.1.1-2
vkd3d 1.14-1
vmaf 3.0.0-1
volume_key 0.3.12-10
vte-common 0.78.3-1
vte3 0.78.3-1
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
vulkan-intel 1:24.3.4-1
vulkan-radeon 1:24.3.4-1
vulkan-swrast 1:24.3.4-1
wavpack 5.7.0-1
wayland 1.23.1-1
webkit2gtk 2.46.5-1
webkit2gtk-4.1 2.46.5-1
webkitgtk-6.0 2.46.5-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-4
which 2.21-6
wildmidi 0.4.6-1
wireless-regdb 2024.10.07-1
woff2 1.0.2-5
wpa_supplicant 2:2.11-2
wpa_supplicant-runit 20180429-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.8-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xcursor-premium 0.3-10
xdg-dbus-proxy 0.1.6-1
xdg-user-dirs 0.18-2.1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xf86-input-vmmouse 13.2.0-2
xf86-video-amdgpu 23.0.0-2.2
xf86-video-ati 1:22.0.0-2.1
xf86-video-dummy 0.4.1-2
xf86-video-fbdev 0.5.1-1
xf86-video-intel 1:2.99.917+923+gb74b67f0-2.2
xf86-video-nouveau 1.0.18-1
xf86-video-sisusb 0.9.7-5
xf86-video-vesa 2.6.0-2
xf86-video-vmware 13.4.0-3
xf86-video-voodoo 1.2.6-2
xfburn 0.7.2-3
